案件ID,案件名,工程,全指摘件数,表示対象指摘件数,指標対象指摘件数,軽微指摘件数,不良指摘件数,累積検出不良件数,流出不良件数,除去可能不良件数,対象工程までに除去した不良件数,対象工程から流出した不良件数,密度分母,分母値,指摘密度,指摘密度単位,1000文字あたり指摘密度,不良除去率,流出率,未対応指摘件数
CASE-001,注文登録機能,外部仕様書,2,1,1,1,1,1,1,2,1,1,レビュー対象ページ数,18.0,0.05555555555555555,件/ページ,,0.5,0.5,0
CASE-001,注文登録機能,内部仕様書,2,2,2,0,1,2,1,3,2,1,レビュー対象ページ数,12.0,0.16666666666666666,件/ページ,,0.6666666666666666,0.3333333333333333,1
CASE-001,注文登録機能,コード,2,1,1,1,1,3,1,4,3,1,変更ステップ数(KLOC換算),420.0,2.380952380952381,件/KLOC,,0.75,0.25,0
CASE-001,注文登録機能,テスト仕様書,1,1,1,0,1,4,1,5,4,1,レビュー対象ページ数,9.0,0.1111111111111111,件/ページ,,0.8,0.2,0
CASE-001,注文登録機能,リリース後,1,1,1,0,1,5,0,5,5,0,対象数,0,,件/対象,,1.0,0.0,0
CASE-002,在庫引当改善,外部仕様書,1,1,1,0,1,1,0,1,1,0,レビュー対象ページ数,11.0,0.09090909090909091,件/ページ,,1.0,0.0,0
CASE-002,在庫引当改善,内部仕様書,2,2,2,0,1,2,0,2,2,0,レビュー対象ページ数,15.0,0.13333333333333333,件/ページ,,1.0,0.0,0
CASE-002,在庫引当改善,コード,3,2,2,1,2,4,0,4,4,0,変更ステップ数(KLOC換算),760.0,2.6315789473684212,件/KLOC,,1.0,0.0,1
CASE-002,在庫引当改善,テスト仕様書,2,1,1,1,1,5,0,5,5,0,レビュー対象ページ数,14.0,0.07142857142857142,件/ページ,,1.0,0.0,0
CASE-002,在庫引当改善,リリース後,0,0,0,0,0,5,0,5,5,0,対象数,0,,件/対象,,1.0,0.0,0
CASE-003,帳票CSV出力,外部仕様書,2,1,1,1,1,1,0,1,1,0,レビュー対象ページ数,8.0,0.125,件/ページ,0.125,1.0,0.0,0
CASE-003,帳票CSV出力,内部仕様書,1,1,1,0,1,2,1,3,2,1,レビュー対象ページ数,9.0,0.1111111111111111,件/ページ,0.1111111111111111,0.6666666666666666,0.3333333333333333,0
CASE-003,帳票CSV出力,コード,2,2,2,0,1,3,2,5,3,2,変更ステップ数(KLOC換算),3,666.6666666666666,件/KLOC,,0.6,0.4,0
CASE-003,帳票CSV出力,テスト仕様書,2,2,2,0,2,5,2,7,5,2,レビュー対象ページ数,7.0,0.2857142857142857,件/ページ,0.2857142857142857,0.7142857142857143,0.2857142857142857,0
CASE-003,帳票CSV出力,リリース後,2,2,2,0,2,7,0,7,7,0,対象数,0,,件/対象,,1.0,0.0,0
