集計軸,集計値,指摘件数,指標対象指摘件数,軽微指摘件数,不良指摘件数,流出不良件数,未対応指摘件数
工程,コード,7,5,2,4,0,1
工程,テスト仕様書,5,4,1,4,0,0
工程,リリース後,1,1,0,1,1,0
工程,内部仕様書,5,5,0,3,0,1
工程,外部仕様書,5,3,2,3,0,0
工程,後工程,2,2,0,2,2,0
作業担当者,品質管理A,10,8,2,6,0,1
作業担当者,品質管理B,15,12,3,11,3,1
レビュー担当者,レビューリーダー乙,12,10,2,7,0,2
レビュー担当者,レビューリーダー甲,13,10,3,10,3,0
原因工程,コード,8,6,2,5,1,1
原因工程,テスト仕様書,5,4,1,4,0,0
原因工程,内部仕様書,6,6,0,4,1,1
原因工程,外部仕様書,6,4,2,4,1,0
検出工程,コード,7,5,2,4,0,1
検出工程,テスト仕様書,5,4,1,4,0,0
検出工程,リリース後,1,1,0,1,1,0
検出工程,内部仕様書,5,5,0,3,0,1
検出工程,外部仕様書,5,3,2,3,0,0
検出工程,後工程,2,2,0,2,2,0
